date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:34	160/160	---MCZ	200	added ('OK')	text/plain	etag:W/%2293fc6475dc5e1c99c95b3d3d72596d8a%22	https://flockerz.com/robots.txt		(from )
16:12:35	263733/263733	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2010:42:35%20GMT	https://flockerz.com/	C:/Users/Lenovo/Downloads/hoe/flockez/flockerz.com/index.html	(from )
16:12:37	16053/16053	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d9903fd9e08fbd6b21abfb308ee30af9%22	http://flockerz.com/assets/images/favicon.svg	C:/Users/Lenovo/Downloads/hoe/flockez/flockerz.com/assets/images/favicon.svg	(from https://flockerz.com/)
16:12:37	3745/3745	---M--	200	added ('OK')	image/png	etag:%22a90f73bfd2c654752bdc8b66fdc18287%22	http://flockerz.com/assets/images/favicon.png	C:/Users/Lenovo/Downloads/hoe/flockez/flockerz.com/assets/images/favicon.png	(from https://flockerz.com/)
16:12:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2002%20Dec%202024%2010:42:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Lenovo/Downloads/hoe/flockez/www.googletagmanager.com/gtm.25445.delayed	(from https://flockerz.com/)
16:12:38	35104/35104	---MCZ	200	added ('OK')	font/ttf	etag:W/%22342a308b678f1568924021bda6e6c509%22	http://flockerz.com/media/badaboom-bb.regular-XZTLUH5E.ttf	C:/Users/Lenovo/Downloads/hoe/flockez/flockerz.com/media/badaboom-bb.regular-XZTLUH5E.ttf	(from https://flockerz.com/)
16:12:42	51560/51560	---MCZ	200	added ('OK')	font/ttf	etag:W/%22a9a91bc763a64773212dd49d71e0c4c0%22	http://flockerz.com/media/HeyComic-ZOC2HDMN.ttf	C:/Users/Lenovo/Downloads/hoe/flockez/flockerz.com/media/HeyComic-ZOC2HDMN.ttf	(from https://flockerz.com/)
16:12:43	953003/953003	---MCZ	200	added ('OK')	text/css	etag:W/%22f1e3907403d7a8709e87ff1e1111ad12%22	http://flockerz.com/styles-ATBWANHZ.css	C:/Users/Lenovo/Downloads/hoe/flockez/flockerz.com/styles-ATBWANHZ.css	(from https://flockerz.com/)
16:12:52	153944/153944	---MCZ	200	added ('OK')	font/ttf	etag:W/%22cae44daa6592b78f9f198edf408b1259%22	http://flockerz.com/media/Poppins-Bold-QAA2AGZS.ttf	C:/Users/Lenovo/Downloads/hoe/flockez/flockerz.com/media/Poppins-Bold-QAA2AGZS.ttf	(from https://flockerz.com/)
16:12:55	118905/118905	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2207449f1e4b76448bd40c8f12742933fb%22	http://flockerz.com/assets/images/svg-icons/about-bg.svg	C:/Users/Lenovo/Downloads/hoe/flockez/flockerz.com/assets/images/svg-icons/about-bg.svg	(from https://flockerz.com/)
